--- ACTIVE STRIPE PRICES ---
Plan: Expert | Price ID: price_1T2uQbJQcFY2PeiPUzsizjpF | Amount: 5990 PLN
Plan: Expert | Price ID: price_1T2uMFJQcFY2PeiPEcCqha2w | Amount: 599 PLN
Plan: Professional | Price ID: price_1T2uLiJQcFY2PeiPgm1TBJeX | Amount: 2490 PLN
Plan: Professional | Price ID: price_1T2uJKJQcFY2PeiPqdpnw4tg | Amount: 249 PLN
Plan: Starter | Price ID: price_1T2uHyJQcFY2PeiPwwGZXuwy | Amount: 1490 PLN
Plan: Starter | Price ID: price_1T2uHHJQcFY2PeiPuSLNImIK | Amount: 149 PLN
Plan: USD Test Plan | Price ID: price_1T2t5sJQcFY2PeiP5098NETc | Amount: 10 USD
Plan: pro | Price ID: price_1T1MbvJQcFY2PeiPLlwxblxx | Amount: 1490 PLN
Plan: Agency | Price ID: price_1T0KtIJQcFY2PeiPZzKgAamL | Amount: 299 PLN
Plan: pro | Price ID: price_1T0KsvJQcFY2PeiPZ6qPTWyO | Amount: 149 PLN
---------------------------
